ZONA PORTUARIA               ,SOCIEDAD PORTUARIA,TIPO DE CARGA,EXPORTACION,IMPORTACIÓN,TRANSBORDO,TRANSITO INTERNACIONAL,FLUVIAL,CABOTAJE,AÑO VIGENCIA,MES VIGENCIA
BUENAVENTURA,SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A,CONTENEDORES,"145,194","218,427","616,452",,,,"2,018",2
CARTAGENA,PUERTO BUENAVISTA S.A,GENERAL,"8,898",,,,,750,"2,020",11
BUENAVENTURA,SOCIEDAD PORTUARIA TERMINAL DE CONTENEDORES DE BUENAVENTURA S.A.,CONTENEDORES,"90,016","133,204","95,610",,,,"2,018",3
CARTAGENA,COMPAÑIA DE PUERTOS ASOCIADOS S.A.,GENERAL,353,"4,974",,427,,,"2,019",1
GUAJIRA,CERREJON ZONA NORTE S.A.,CONTENEDORES,,781,,,,,"2,018",9
CARTAGENA,VOPAK COLOMBIA S.A.,GRANEL LIQUIDO,,"8,892",,,,"1,496","2,020",3
CARTAGENA,SOCIEDAD PORTUARIA DEL DIQUE S.A.,GRANEL LIQUIDO,,,,,,"5,662","2,019",9
SANTA MARTA,SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA,GENERAL,,"14,500","1,429",,,,"2,020",4
CARTAGENA,SOCIEDAD PORTUARIA BAVARIA S.A,GRANEL SOLIDO DIFER. DE CARBON,"55,811",,,,,,"2,020",10
BARRANQUILLA,SOCIEDAD PORTUARIA MONOMEROS COLOMBO VENEZOLANOS S.A.,GRANEL SOLIDO DIFER. DE CARBON,,"16,210",,,,,"2,018",6
G. MORROSQUILLO,OLEODUCTO CENTRAL SA,GRANEL LIQUIDO,"1,613,702",,,,,,"2,019",9
GUAJIRA,CERREJON ZONA NORTE S.A.,CONTENEDORES,,671,,,,,"2,018",3
CARTAGENA,COMPAÑIA DE PUERTOS ASOCIADOS S.A.,GRANEL SOLIDO DIFER. DE CARBON,,"104,566",,,,,"2,020",2
BARRANQUILLA,SOCIEDAD PORTUARIA MONOMEROS COLOMBO VENEZOLANOS S.A.,GRANEL SOLIDO DIFER. DE CARBON,,"41,972",,,,,"2,020",7
BUENAVENTURA,SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A,GRANEL SOLIDO DIFER. DE CARBON,,"273,163",,,,,"2,019",6
BUENAVENTURA,SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A,CONTENEDORES,"225,298","193,549","398,462",,,,"2,018",8
BARRANQUILLA,ATUNAMAR LIMITADA,GENERAL,,,,,,"4,931","2,018",4
BUENAVENTURA,SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.,GENERAL,,"36,290",,,,,"2,018",4
GUAJIRA,CERREJON ZONA NORTE S.A.,GRANEL LIQUIDO,,"23,834",,,,,"2,020",8
TUMACO,ROMERO Y BURGOS & CIA S.EN C.,GRANEL LIQUIDO,,,,,109,,"2,019",12
CARTAGENA,ECOPETROL S.A.,GRANEL LIQUIDO,"300,842","74,176",,,,"136,971","2,019",2
BARRANQUILLA,SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.,GRANEL LIQUIDO,,"1,978",,,,,"2,018",12
